#bin	name	chrom	strand	txStart	txEnd	cdsStart	cdsEnd	exonCount	exonStarts	exonEnds	score	name2	cdsStartStat	cdsEndStat	exonFrames
1565	XM_011542650.1	chr11	-	128458764	128522700	128462360	128521994	9	128458764,128463508,128480190,128484822,128486068,128489289,128490456,128497572,128521912,	128462576,128463627,128480451,128485071,128486146,128489490,128490576,128497674,128522700,	0	ETS1	cmpl	cmpl	0,1,1,1,1,1,1,1,0,
195	XM_011542701.2	chr11	+	128692967	128812416	128758195	128810988	9	128692967,128758114,128768117,128772781,128781957,128805365,128807179,128809156,128810458,	128693143,128758326,128768272,128772985,128782023,128805431,128807239,128809204,128812416,	0	FLI1	cmpl	cmpl	-1,0,2,1,1,1,1,1,1,
195	XM_011542702.1	chr11	+	128693769	128812416	128694258	128810988	7	128693769,128758114,128768117,128772781,128781957,128809156,128810458,	128694276,128758326,128768272,128772985,128782023,128809204,128812416,	0	FLI1	cmpl	cmpl	0,0,2,1,1,1,1,
848	XM_017017308.1	chr11	-	34478790	34513765	34480217	34505749	6	34478790,34480771,34482430,34493478,34505628,34513676,	34480314,34480967,34482499,34493712,34505753,34513765,	0	ELF5	cmpl	cmpl	2,1,1,1,0,-1,
848	XM_017017309.1	chr11	-	34478790	34513765	34480217	34505749	6	34478790,34480771,34490008,34493478,34505628,34513676,	34480314,34480967,34490059,34493712,34505753,34513765,	0	ELF5	cmpl	cmpl	2,1,1,1,0,-1,
195	XM_017017314.1	chr11	-	128459023	128587556	128462360	128573130	10	128459023,128463508,128480190,128484822,128486068,128489289,128490456,128556290,128573061,128587496,	128462576,128463627,128480451,128485071,128486146,128489490,128490576,128556435,128573144,128587556,	0	ETS1	cmpl	cmpl	0,1,1,1,1,1,1,0,0,-1,
195	XM_017017315.2	chr11	-	128459827	128587556	128462360	128556399	9	128459827,128463508,128480190,128484822,128486068,128489289,128490456,128556290,128587487,	128462576,128463627,128480451,128485071,128486146,128489490,128490576,128556435,128587556,	0	ETS1	cmpl	cmpl	0,1,1,1,1,1,1,0,-1,
195	XM_017017317.1	chr11	-	128458764	128587593	128462360	128573130	9	128458764,128463508,128484822,128486068,128489289,128490456,128556290,128573061,128587487,	128462576,128463627,128485071,128486146,128489490,128490576,128556435,128573144,128587593,	0	ETS1	cmpl	cmpl	0,1,1,1,1,1,0,0,-1,
195	XM_017017405.1	chr11	+	128685262	128812417	128758195	128810988	9	128685262,128758114,128768117,128772781,128781957,128805365,128807179,128809156,128810458,	128685372,128758326,128768272,128772985,128782023,128805431,128807239,128809204,128812417,	0	FLI1	cmpl	cmpl	-1,0,2,1,1,1,1,1,1,
195	XM_017017406.1	chr11	+	128692501	128812417	128758195	128810988	9	128692501,128758114,128768117,128772781,128781957,128805365,128807179,128809156,128810458,	128692800,128758326,128768272,128772985,128782023,128805431,128807239,128809204,128812417,	0	FLI1	cmpl	cmpl	-1,0,2,1,1,1,1,1,1,
946	XM_017018173.1	chr11	-	47354858	47395640	47355226	47359921	7	47354858,47358843,47359852,47375632,47379744,47382375,47395489,	47355546,47359006,47360040,47375732,47379849,47383832,47395640,	0	SPI1	cmpl	cmpl	1,0,0,-1,-1,-1,-1,
849	XM_024448431.1	chr11	+	34638703	34663288	34642630	34658931	10	34638703,34642007,34642627,34646438,34649018,34651541,34651736,34656907,34658532,34658831,	34639665,34642165,34642727,34646684,34649081,34651610,34651805,34656970,34658728,34663288,	0	EHF	cmpl	cmpl	-1,-1,0,1,1,1,1,1,1,2,
849	XM_024448432.1	chr11	+	34624363	34663288	34642630	34658931	9	34624363,34642627,34646438,34649018,34651541,34651736,34656907,34658532,34658831,	34624386,34642727,34646684,34649081,34651610,34651805,34656970,34658728,34663288,	0	EHF	cmpl	cmpl	-1,0,1,1,1,1,1,1,2,
849	XM_024448433.1	chr11	+	34621440	34663288	34642630	34658931	9	34621440,34642627,34646438,34649018,34651541,34651736,34656907,34658532,34658831,	34622189,34642727,34646684,34649081,34651610,34651805,34656970,34658728,34663288,	0	EHF	cmpl	cmpl	-1,0,1,1,1,1,1,1,2,
849	XM_024448434.1	chr11	+	34642181	34663288	34642630	34658931	9	34642181,34642627,34646438,34649018,34651541,34651736,34656907,34658532,34658831,	34642348,34642727,34646684,34649081,34651610,34651805,34656970,34658728,34663288,	0	EHF	cmpl	cmpl	-1,0,1,1,1,1,1,1,2,
1319	NM_001303511.2	chr12	+	96255497	96269824	96255520	96267180	3	96255497,96259730,96267081,	96255550,96259853,96269824,	0	ELK3	cmpl	cmpl	0,0,0,
84	NM_001987.5	chr12	+	11649673	11895377	11650127	11891046	8	11649673,11752449,11839139,11853426,11869423,11884444,11885925,11890940,	11650160,11752579,11839304,11853561,11869969,11884587,11886026,11895377,	0	ETV6	cmpl	cmpl	0,0,1,1,1,1,0,2,
164	NM_005230.4	chr12	+	96194374	96269824	96223566	96267180	5	96194374,96223564,96246939,96259730,96267081,	96194705,96223773,96247734,96259853,96269824,	0	ELK3	cmpl	cmpl	-1,0,0,0,0,
1359	NM_152323.3	chr12	+	101475335	101486997	101476904	101486771	6	101475335,101476827,101477557,101479581,101482791,101486343,	101475502,101476907,101477651,101479694,101482900,101486997,	0	SPIC	cmpl	cmpl	-1,0,0,1,0,1,
1359	XM_006719239.3	chr12	+	101475275	101486997	101476904	101486771	6	101475275,101476861,101477557,101479581,101482791,101486343,	101475502,101476907,101477651,101479694,101482900,101486997,	0	SPIC	cmpl	cmpl	-1,0,0,1,0,1,
164	XM_006719275.3	chr12	+	96194401	96269824	96223566	96267180	6	96194401,96198025,96223564,96246939,96259730,96267081,	96194705,96198142,96223773,96247734,96259853,96269824,	0	ELK3	cmpl	cmpl	-1,-1,0,0,0,0,
84	XM_011520607.2	chr12	+	11649600	11895386	11650127	11891046	8	11649600,11752452,11839139,11853426,11869423,11884444,11885925,11890940,	11650160,11752579,11839304,11853561,11869969,11884587,11886026,11895386,	0	ETV6	cmpl	cmpl	0,0,1,1,1,1,0,2,
84	XM_011520608.2	chr12	+	11743046	11895386	11743936	11891046	8	11743046,11752449,11839139,11853426,11869423,11884444,11885925,11890940,	11743942,11752579,11839304,11853561,11869969,11884587,11886026,11895386,	0	ETV6	cmpl	cmpl	0,0,1,1,1,1,0,2,
675	XM_011520609.2	chr12	+	11827503	11895386	11839240	11891046	8	11827503,11829034,11839139,11853426,11869423,11884444,11885925,11890940,	11828609,11829229,11839304,11853561,11869969,11884587,11886026,11895386,	0	ETV6	cmpl	cmpl	-1,-1,0,1,1,1,0,2,
84	XM_011520611.2	chr12	+	11649926	11895386	11839240	11891046	7	11649926,11839139,11853426,11869423,11884444,11885925,11890940,	11650160,11839304,11853561,11869969,11884587,11886026,11895386,	0	ETV6	cmpl	cmpl	-1,0,1,1,1,0,2,
675	XM_011520612.2	chr12	+	11846978	11895386	11869581	11891046	6	11846978,11853426,11869423,11884444,11885925,11890940,	11847111,11853561,11869969,11884587,11886026,11895386,	0	ETV6	cmpl	cmpl	-1,-1,0,1,0,2,
84	XM_017018990.1	chr12	+	11649600	11895386	11650127	11891046	7	11649600,11752449,11839139,11869423,11884444,11885925,11890940,	11650160,11752579,11839304,11869969,11884587,11886026,11895386,	0	ETV6	cmpl	cmpl	0,0,1,1,1,0,2,
84	XM_017018991.1	chr12	+	11649943	11895386	11839240	11891046	12	11649943,11752449,11825643,11826401,11828525,11829034,11839139,11853426,11869423,11884444,11885925,11890940,	11650160,11752579,11825713,11827448,11828609,11829229,11839304,11853561,11869969,11884587,11886026,11895386,	0	ETV6	cmpl	cmpl	-1,-1,-1,-1,-1,-1,0,1,1,1,0,2,
897	NM_001145353.1	chr13	-	40931918	40982282	40933424	40982054	8	40931918,40940920,40942951,40943841,40949805,40951328,40958835,40981982,	40934028,40941370,40943144,40943925,40949901,40951436,40959016,40982282,	0	ELF1	cmpl	cmpl	2,2,1,1,1,1,0,0,
112	NM_001370329.1	chr13	-	40931923	41061386	40933424	40958911	10	40931923,40940920,40942951,40943841,40949805,40951328,40958835,40961442,40981982,41060837,	40934028,40941370,40943144,40943925,40949973,40951436,40959016,40961561,40982282,41061386,	0	ELF1	cmpl	cmpl	2,2,1,1,1,1,0,-1,-1,-1,
112	NM_001370330.1	chr13	-	40931923	41061386	40933424	40982054	9	40931923,40940920,40942951,40943841,40949805,40951328,40958835,40981982,41060837,	40934028,40941370,40943144,40943925,40949973,40951436,40959016,40982282,41061386,	0	ELF1	cmpl	cmpl	2,2,1,1,1,1,0,0,-1,
897	NM_001370331.1	chr13	-	40931923	40982899	40933424	40982054	9	40931923,40940920,40942951,40943841,40949805,40951328,40958835,40981982,40982857,	40934028,40941370,40943144,40943925,40949973,40951436,40959016,40982282,40982899,	0	ELF1	cmpl	cmpl	2,2,1,1,1,1,0,0,-1,
897	NM_001370332.1	chr13	-	40931923	41019316	40933424	40982054	11	40931923,40940920,40942951,40943841,40949805,40951328,40958835,40981982,41013077,41014158,41019227,	40934028,40941370,40943144,40943925,40949973,40951436,40959016,40982282,41013194,41014349,41019316,	0	ELF1	cmpl	cmpl	2,2,1,1,1,1,0,0,-1,-1,-1,
897	NM_172373.4	chr13	-	40931923	41019316	40933424	40982054	9	40931923,40940920,40942951,40943841,40949805,40951328,40958835,40981982,41019227,	40934028,40941370,40943144,40943925,40949973,40951436,40959016,40982282,41019316,	0	ELF1	cmpl	cmpl	2,2,1,1,1,1,0,0,-1,
917	NM_001079675.5	chr17	-	43527845	43546340	43528518	43545617	13	43527845,43529134,43529503,43529883,43530106,43532673,43533186,43533858,43536425,43544974,43545273,43545557,43546184,	43528743,43529236,43529676,43529952,43530181,43532939,43533348,43533985,43536479,43545022,43545367,43545668,43546340,	0	ETV4	cmpl	cmpl	0,0,1,1,1,2,2,1,1,1,0,0,-1,
917	NM_001261437.3	chr17	-	43527845	43546340	43528518	43545310	12	43527845,43529134,43529503,43529883,43530106,43532673,43533186,43533858,43536425,43544974,43545273,43546184,	43528743,43529236,43529676,43529952,43530181,43532939,43533348,43533985,43536479,43545022,43545367,43546340,	0	ETV4	cmpl	cmpl	0,0,1,1,1,2,2,1,1,1,0,-1,
917	NM_001261438.3	chr17	-	43527845	43545899	43528518	43545310	12	43527845,43529134,43529503,43529883,43530106,43532673,43533186,43533858,43536425,43544974,43545273,43545860,	43528743,43529236,43529676,43529952,43530181,43532939,43533348,43533985,43536479,43545022,43545367,43545899,	0	ETV4	cmpl	cmpl	0,0,1,1,1,2,2,1,1,1,0,-1,
917	NM_001261439.3	chr17	-	43527845	43530435	43528518	43530161	5	43527845,43529134,43529503,43529883,43530106,	43528743,43529236,43529676,43529952,43530435,	0	ETV4	cmpl	cmpl	0,0,1,1,0,
917	NM_001369366.2	chr17	-	43527845	43545899	43528518	43545617	13	43527845,43529134,43529503,43529883,43530106,43532673,43533186,43533858,43536425,43544974,43545273,43545557,43545779,	43528743,43529236,43529676,43529952,43530181,43532939,43533348,43533985,43536479,43545022,43545367,43545668,43545899,	0	ETV4	cmpl	cmpl	0,0,1,1,1,2,2,1,1,1,0,0,-1,
917	NM_001369367.2	chr17	-	43527845	43545899	43528518	43545617	13	43527845,43529134,43529503,43529883,43530106,43532673,43533186,43533858,43536425,43544974,43545273,43545557,43545860,	43528743,43529236,43529676,43529952,43530181,43532939,43533348,43533982,43536479,43545022,43545367,43545668,43545899,	0	ETV4	cmpl	cmpl	0,0,1,1,1,2,2,1,1,1,0,0,-1,
917	NM_001369368.2	chr17	-	43527845	43545899	43528518	43545617	13	43527845,43529134,43529503,43529883,43530121,43532673,43533186,43533858,43536425,43544974,43545273,43545557,43545860,	43528743,43529236,43529676,43529952,43530181,43532939,43533348,43533985,43536479,43545022,43545367,43545668,43545899,	0	ETV4	cmpl	cmpl	0,0,1,1,1,2,2,1,1,1,0,0,-1,
917	NM_001986.4	chr17	-	43527845	43545899	43528518	43545617	13	43527845,43529134,43529503,43529883,43530106,43532673,43533186,43533858,43536425,43544974,43545273,43545557,43545860,	43528743,43529236,43529676,43529952,43530181,43532939,43533348,43533985,43536479,43545022,43545367,43545668,43545899,	0	ETV4	cmpl	cmpl	0,0,1,1,1,2,2,1,1,1,0,0,-1,
917	XM_024450644.1	chr17	-	43527842	43545656	43528518	43533208	11	43527842,43529134,43529503,43529883,43530106,43533186,43533858,43536425,43544974,43545273,43545557,	43528743,43529236,43529676,43529952,43530181,43533348,43533985,43536479,43545022,43545367,43545656,	0	ETV4	cmpl	cmpl	0,0,1,1,1,0,-1,-1,-1,-1,-1,
969	NM_001243998.1	chr19	+	50418937	50431053	50422479	50428336	5	50418937,50419945,50422472,50423604,50428037,	50418985,50419973,50422545,50423755,50431053,	0	SPIB	cmpl	cmpl	-1,-1,0,0,1,
969	NM_001243999.2	chr19	+	50418937	50431314	50418962	50428085	6	50418937,50419945,50422472,50422822,50423604,50428037,	50418985,50419973,50422545,50423037,50423751,50431314,	0	SPIB	cmpl	cmpl	0,2,0,1,0,0,
969	NM_001244000.2	chr19	+	50418937	50431314	50422479	50428336	6	50418937,50419945,50422472,50422822,50423639,50428037,	50418985,50419973,50422545,50423037,50423755,50431314,	0	SPIB	cmpl	cmpl	-1,-1,0,0,2,1,
856	NM_001300974.2	chr19	+	35641744	35644871	35643317	35644852	6	35641744,35642614,35642964,35643273,35644234,35644651,	35642156,35642698,35643045,35643753,35644347,35644871,	0	ETV2	cmpl	cmpl	-1,-1,-1,0,1,0,
907	NM_001301035.1	chr19	-	42247560	42254635	42248464	42250362	4	42247560,42249826,42250330,42254536,	42249738,42249942,42250565,42254635,	0	ERF	cmpl	cmpl	1,2,0,-1,
856	NM_001304549.2	chr19	+	35641744	35644871	35642460	35644852	5	35641744,35642433,35642614,35644234,35644651,	35642156,35642530,35642698,35644347,35644871,	0	ETV2	cmpl	cmpl	-1,0,1,1,0,
907	NM_001308402.2	chr19	-	42247568	42253899	42248464	42250362	4	42247568,42249826,42250330,42253841,	42249738,42249942,42250565,42253899,	0	ERF	cmpl	cmpl	1,2,0,-1,
907	NM_001312656.2	chr19	-	42247568	42255128	42248464	42250362	4	42247568,42249826,42250330,42255103,	42249738,42249942,42250565,42255128,	0	ERF	cmpl	cmpl	1,2,0,-1,
969	NM_003121.5	chr19	+	50418937	50431314	50418962	50428336	6	50418937,50419945,50422472,50422822,50423604,50428037,	50418985,50419973,50422545,50423037,50423755,50431314,	0	SPIB	cmpl	cmpl	0,2,0,1,0,1,
907	NM_006494.4	chr19	-	42247568	42255128	42248464	42254999	4	42247568,42249826,42250330,42254977,	42249738,42249942,42250565,42255128,	0	ERF	cmpl	cmpl	1,2,1,0,
856	NM_014209.4	chr19	+	35641744	35644871	35642460	35644852	7	35641744,35642433,35642614,35642964,35643273,35644234,35644651,	35642156,35642530,35642698,35643045,35643753,35644347,35644871,	0	ETV2	cmpl	cmpl	-1,0,1,1,1,1,0,
856	XM_005258652.2	chr19	+	35641756	35644871	35642460	35644852	6	35641756,35642433,35642964,35643273,35644234,35644651,	35642156,35642698,35643045,35643753,35644347,35644871,	0	ETV2	cmpl	cmpl	-1,0,1,1,1,0,
856	XM_011526624.2	chr19	+	35641174	35644871	35643317	35644852	6	35641174,35642614,35642948,35643273,35644234,35644651,	35642156,35642698,35643045,35643753,35644347,35644871,	0	ETV2	cmpl	cmpl	-1,-1,-1,0,1,0,
907	XM_017026468.1	chr19	-	42247568	42250918	42248464	42250362	4	42247568,42249826,42250330,42250678,	42249738,42249942,42250565,42250918,	0	ERF	cmpl	cmpl	1,2,0,-1,
907	XM_017026469.1	chr19	-	42247568	42251435	42248464	42250362	4	42247568,42249826,42250330,42251388,	42249738,42249942,42250565,42251435,	0	ERF	cmpl	cmpl	1,2,0,-1,
856	XM_017026472.1	chr19	+	35641756	35644871	35642460	35644852	5	35641756,35642433,35643273,35644234,35644651,	35642156,35642698,35643753,35644347,35644871,	0	ETV2	cmpl	cmpl	-1,0,1,1,0,
109	NM_001136154.1	chr21	-	38380026	38661780	38383402	38575700	12	38380026,38390994,38391658,38392375,38400573,38402556,38403505,38423409,38445403,38575661,38584843,38661657,	38383923,38391042,38391715,38392444,38400645,38402637,38403709,38423561,38445621,38575747,38584945,38661780,	0	ERG	cmpl	cmpl	1,1,1,1,1,1,1,2,0,0,-1,-1,
109	NM_001136155.1	chr21	-	38380026	38498504	38383402	38423521	9	38380026,38390994,38391658,38392375,38400573,38402556,38403505,38423409,38498362,	38383923,38391042,38391715,38392444,38400645,38402637,38403709,38423561,38498504,	0	ERG	cmpl	cmpl	1,1,1,1,1,1,1,0,-1,
781	NM_001197297.2	chr21	+	25734971	25772460	25741598	25769232	10	25734971,25741572,25745209,25749035,25751988,25758009,25762311,25764209,25764594,25769003,	25735070,25741675,25745354,25749120,25752234,25758204,25762365,25764350,25764787,25772460,	0	GABPA	cmpl	cmpl	-1,0,2,0,1,1,1,1,1,2,
109	NM_001243428.1	chr21	-	38380026	38660667	38383402	38575700	12	38380026,38390994,38391658,38392375,38400573,38402556,38403505,38423409,38445403,38575661,38584843,38660521,	38383923,38391042,38391715,38392444,38400645,38402637,38403709,38423561,38445621,38575747,38584945,38660667,	0	ERG	cmpl	cmpl	1,1,1,1,1,1,1,2,0,0,-1,-1,
109	NM_001243429.1	chr21	-	38380026	38584945	38383402	38423521	9	38380026,38390994,38391658,38392375,38402556,38403505,38423409,38575661,38584843,	38383923,38391042,38391715,38392444,38402637,38403709,38423561,38575747,38584945,	0	ERG	cmpl	cmpl	1,1,1,1,1,1,0,-1,-1,
109	NM_001243432.2	chr21	-	38367260	38661780	38367634	38575700	12	38367260,38390994,38391658,38392375,38400573,38402556,38403505,38423409,38445403,38575661,38584843,38661657,	38367648,38391042,38391715,38392444,38400645,38402637,38403709,38423561,38445621,38575747,38584945,38661780,	0	ERG	cmpl	cmpl	1,1,1,1,1,1,1,2,0,0,-1,-1,
881	NM_001256295.2	chr21	+	38805182	38824955	38805346	38822889	11	38805182,38805970,38810034,38813002,38814272,38814780,38817007,38818424,38819502,38821585,38822673,	38805616,38806120,38810106,38813114,38814392,38814981,38817091,38818646,38819766,38821704,38824955,	0	ETS2	cmpl	cmpl	0,0,0,0,1,1,1,1,1,1,0,
109	NM_001291391.1	chr21	-	38400071	38661780	38400361	38575700	8	38400071,38402556,38403505,38423409,38445403,38575661,38584843,38661657,	38400645,38402637,38403709,38423561,38445621,38575747,38584945,38661780,	0	ERG	cmpl	cmpl	1,1,1,2,0,0,-1,-1,
109	NM_001331025.2	chr21	-	38380035	38498477	38383402	38498380	9	38380035,38390994,38391658,38392375,38402556,38403505,38423409,38445403,38498362,	38383923,38391042,38391715,38392444,38402637,38403709,38423561,38445621,38498477,	0	ERG	cmpl	cmpl	1,1,1,1,1,1,2,0,0,
781	NM_002040.4	chr21	+	25734971	25772460	25741598	25769232	10	25734971,25741572,25745209,25749035,25751988,25758009,25762311,25764209,25764594,25769003,	25735578,25741675,25745354,25749120,25752234,25758204,25762365,25764350,25764787,25772460,	0	GABPA	cmpl	cmpl	-1,0,2,0,1,1,1,1,1,2,
109	NM_004449.4	chr21	-	38380026	38661780	38383402	38575700	11	38380026,38390994,38391658,38392375,38402556,38403505,38423409,38445403,38575661,38584843,38661657,	38383923,38391042,38391715,38392444,38402637,38403709,38423561,38445621,38575747,38584945,38661780,	0	ERG	cmpl	cmpl	1,1,1,1,1,1,2,0,0,-1,-1,
881	NM_005239.6	chr21	+	38805928	38824955	38810034	38822889	10	38805928,38810034,38813002,38814272,38814780,38817007,38818424,38819502,38821585,38822673,	38806120,38810106,38813114,38814392,38814981,38817091,38818646,38819766,38821704,38824955,	0	ETS2	cmpl	cmpl	-1,0,0,1,1,1,1,1,1,0,
109	NM_182918.4	chr21	-	38380035	38498477	38383402	38498380	10	38380035,38390994,38391658,38392375,38400573,38402556,38403505,38423409,38445403,38498362,	38383923,38391042,38391715,38392444,38400645,38402637,38403709,38423561,38445621,38498477,	0	ERG	cmpl	cmpl	1,1,1,1,1,1,1,2,0,0,
109	NR_111949.2	chr21	-	38470774	38661783	38661783	38661783	5	38470774,38474026,38575661,38584843,38661657,	38472080,38474121,38575747,38584945,38661783,	0	ERG	none	none	-1,-1,-1,-1,-1,
881	XM_005260935.1	chr21	+	38806445	38824955	38810034	38822889	10	38806445,38810034,38813002,38814272,38814780,38817007,38818424,38819502,38821585,38822673,	38806808,38810106,38813114,38814392,38814981,38817091,38818646,38819766,38821704,38824955,	0	ETS2	cmpl	cmpl	-1,0,0,1,1,1,1,1,1,0,
781	XM_005260938.5	chr21	+	25735189	25772104	25741598	25769232	10	25735189,25741572,25745209,25749035,25751988,25758009,25762311,25764209,25764594,25769003,	25735385,25741675,25745354,25749120,25752234,25758204,25762365,25764350,25764787,25772104,	0	GABPA	cmpl	cmpl	-1,0,2,0,1,1,1,1,1,2,
781	XM_011529520.3	chr21	+	25735131	25772104	25741598	25769232	11	25735131,25739879,25741572,25745209,25749035,25751988,25758009,25762311,25764209,25764594,25769003,	25735578,25740032,25741675,25745354,25749120,25752234,25758204,25762365,25764350,25764787,25772104,	0	GABPA	cmpl	cmpl	-1,-1,0,2,0,1,1,1,1,1,2,
781	XM_011529521.3	chr21	+	25735131	25772104	25741598	25769232	12	25735131,25739879,25740396,25741572,25745209,25749035,25751988,25758009,25762311,25764209,25764594,25769003,	25735578,25740032,25740487,25741675,25745354,25749120,25752234,25758204,25762365,25764350,25764787,25772104,	0	GABPA	cmpl	cmpl	-1,-1,-1,0,2,0,1,1,1,1,1,2,
881	XM_017028290.1	chr21	+	38806836	38824955	38810034	38822889	10	38806836,38810034,38813002,38814272,38814780,38817007,38818424,38819502,38821585,38822673,	38809796,38810106,38813114,38814392,38814981,38817091,38818646,38819766,38821704,38824955,	0	ETS2	cmpl	cmpl	-1,0,0,1,1,1,1,1,1,0,
781	XM_017028313.2	chr21	+	25735383	25772104	25741598	25769232	10	25735383,25741560,25745209,25749035,25751988,25758009,25762311,25764209,25764594,25769003,	25735578,25741675,25745354,25749120,25752234,25758204,25762365,25764350,25764787,25772104,	0	GABPA	cmpl	cmpl	-1,0,2,0,1,1,1,1,1,2,
781	XM_024452062.1	chr21	+	25735195	25771055	25741598	25769232	11	25735195,25739879,25741572,25745209,25749035,25751988,25758009,25762311,25764209,25764594,25769003,	25735385,25740032,25741675,25745354,25749120,25752234,25758204,25762365,25764350,25764787,25771055,	0	GABPA	cmpl	cmpl	-1,-1,0,2,0,1,1,1,1,1,2,
